severity,anomaly_type,suggested_action,panel_id,parent_drawing_key,split,phase,status,error,quality_flags,panel_entity_count,base_segment_count,split_segment_count,intersection_count,v1_node_count,v1_edge_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,panel_png_path,topology_v1_panel_json_path
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/变电所全套图纸wm666.taobao.com#panel_008,_P2_staging/变电所全套图纸wm666.taobao.com,train,P2,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__变电所全套图纸wm666.taobao.com__panel_008.png,outputs/topology_panel_v1/_P2_staging/变电所全套图纸wm666.taobao.com#panel_008.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1)#panel_000,_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1),train,P2,ok,,no_edges;no_nets,2,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P2_oda_output/变电所（示出改变电压） (gb4728_11_2.9-1).png,outputs/topology_panel_v1/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-1)#panel_000.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2)#panel_000,_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2),test,P2,ok,,no_edges;no_nets,3,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P2_oda_output/变电所（示出改变电压） (gb4728_11_2.9-2).png,outputs/topology_panel_v1/_P2_staging/变电所（示出改变电压） (gb4728_11_2.9-2)#panel_000.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/杆上变电站 (gb4728_11_2.11-1)#panel_000,_P2_staging/杆上变电站 (gb4728_11_2.11-1),train,P2,ok,,no_edges;no_nets,2,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P2_oda_output/杆上变电站 (gb4728_11_2.11-1).png,outputs/topology_panel_v1/_P2_staging/杆上变电站 (gb4728_11_2.11-1)#panel_000.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/杆上变电站 (gb4728_11_2.11-2)#panel_000,_P2_staging/杆上变电站 (gb4728_11_2.11-2),train,P2,ok,,no_edges;no_nets,3,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P2_oda_output/杆上变电站 (gb4728_11_2.11-2).png,outputs/topology_panel_v1/_P2_staging/杆上变电站 (gb4728_11_2.11-2)#panel_000.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/某厂房变电所平面#panel_001,_P2_staging/某厂房变电所平面,train,P2,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__某厂房变电所平面__panel_001.png,outputs/topology_panel_v1/_P2_staging/某厂房变电所平面#panel_001.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/某厂房变电所平面wm666.taobao.com#panel_001,_P2_staging/某厂房变电所平面wm666.taobao.com,train,P2,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__某厂房变电所平面wm666.taobao.com__panel_001.png,outputs/topology_panel_v1/_P2_staging/某厂房变电所平面wm666.taobao.com#panel_001.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/电站、变电所电气及设备04#panel_004,_P2_staging/电站、变电所电气及设备04,train,P2,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__电站、变电所电气及设备04__panel_004.png,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备04#panel_004.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/电站、变电所电气及设备13#panel_001,_P2_staging/电站、变电所电气及设备13,train,P2,ok,,no_edges;no_nets,1,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_001.png,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_001.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/电站、变电所电气及设备13#panel_002,_P2_staging/电站、变电所电气及设备13,train,P2,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_002.png,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_002.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/电站、变电所电气及设备13#panel_003,_P2_staging/电站、变电所电气及设备13,train,P2,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_003.png,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_003.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/电站、变电所电气及设备13#panel_004,_P2_staging/电站、变电所电气及设备13,train,P2,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_004.png,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_004.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/电站、变电所电气及设备13#panel_005,_P2_staging/电站、变电所电气及设备13,train,P2,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_005.png,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_005.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/电站、变电所电气及设备13#panel_007,_P2_staging/电站、变电所电气及设备13,train,P2,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P2/P2_staging__电站、变电所电气及设备13__panel_007.png,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备13#panel_007.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/移动变电所 (gb4728-11_2.12-2)#panel_000,_P2_staging/移动变电所 (gb4728-11_2.12-2),val,P2,ok,,no_edges;no_nets,4,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P2_oda_output/移动变电所 (gb4728-11_2.12-2).png,outputs/topology_panel_v1/_P2_staging/移动变电所 (gb4728-11_2.12-2)#panel_000.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/移动变电所 (gb4728_11_2.12-1)#panel_000,_P2_staging/移动变电所 (gb4728_11_2.12-1),train,P2,ok,,no_edges;no_nets,3,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P2_oda_output/移动变电所 (gb4728_11_2.12-1).png,outputs/topology_panel_v1/_P2_staging/移动变电所 (gb4728_11_2.12-1)#panel_000.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P2_staging/运行的移动变电站#panel_000,_P2_staging/运行的移动变电站,test,P2,ok,,no_edges;no_nets,3,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P2_oda_output/运行的移动变电站.png,outputs/topology_panel_v1/_P2_staging/运行的移动变电站#panel_000.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch1/铁路配电所有载调压保护#panel_002,_P3_staging_batch1/铁路配电所有载调压保护,train,P3,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P3/P3_staging_batch1__铁路配电所有载调压保护__panel_002.png,outputs/topology_panel_v1/_P3_staging_batch1/铁路配电所有载调压保护#panel_002.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch1/铁路配电所有载调压保护#panel_003,_P3_staging_batch1/铁路配电所有载调压保护,train,P3,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P3/P3_staging_batch1__铁路配电所有载调压保护__panel_003.png,outputs/topology_panel_v1/_P3_staging_batch1/铁路配电所有载调压保护#panel_003.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch1/高压异步电机保护二次原理图#panel_004,_P3_staging_batch1/高压异步电机保护二次原理图,train,P3,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P3/P3_staging_batch1__高压异步电机保护二次原理图__panel_004.png,outputs/topology_panel_v1/_P3_staging_batch1/高压异步电机保护二次原理图#panel_004.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch1/高压异步电机保护二次原理图#panel_006,_P3_staging_batch1/高压异步电机保护二次原理图,train,P3,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P3/P3_staging_batch1__高压异步电机保护二次原理图__panel_006.png,outputs/topology_panel_v1/_P3_staging_batch1/高压异步电机保护二次原理图#panel_006.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch2/发-变组保护测量配置图#panel_002,_P3_staging_batch2/发-变组保护测量配置图,test,P3,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P3/P3_staging_batch2__发-变组保护测量配置图__panel_002.png,outputs/topology_panel_v1/_P3_staging_batch2/发-变组保护测量配置图#panel_002.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch2/开关柜底座及基础图#panel_000,_P3_staging_batch2/开关柜底座及基础图,train,P3,ok,,no_edges;no_nets,7,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P3_oda_output/开关柜底座及基础图.png,outputs/topology_panel_v1/_P3_staging_batch2/开关柜底座及基础图#panel_000.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch4/10KV配网设计块图#panel_000,_P3_staging_batch4/10KV配网设计块图,train,P3,ok,,no_edges;no_nets,1,0,0,0,0,0,0,0.0,0.0,outputs/panels/P3/P3_staging_batch4__10KV配网设计块图__panel_000.png,outputs/topology_panel_v1/_P3_staging_batch4/10KV配网设计块图#panel_000.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch4/10KV配网设计块图#panel_001,_P3_staging_batch4/10KV配网设计块图,train,P3,ok,,no_edges;no_nets,1,0,0,0,0,0,0,0.0,0.0,outputs/panels/P3/P3_staging_batch4__10KV配网设计块图__panel_001.png,outputs/topology_panel_v1/_P3_staging_batch4/10KV配网设计块图#panel_001.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch4/10KV配网设计块图#panel_002,_P3_staging_batch4/10KV配网设计块图,train,P3,ok,,no_edges;no_nets,1,0,0,0,0,0,0,0.0,0.0,outputs/panels/P3/P3_staging_batch4__10KV配网设计块图__panel_002.png,outputs/topology_panel_v1/_P3_staging_batch4/10KV配网设计块图#panel_002.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch4/10KV配网设计块图#panel_003,_P3_staging_batch4/10KV配网设计块图,train,P3,ok,,no_edges;no_nets,14,0,0,0,0,0,0,0.0,0.0,outputs/panels/P3/P3_staging_batch4__10KV配网设计块图__panel_003.png,outputs/topology_panel_v1/_P3_staging_batch4/10KV配网设计块图#panel_003.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch4/10KV配网设计块图#panel_004,_P3_staging_batch4/10KV配网设计块图,train,P3,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P3/P3_staging_batch4__10KV配网设计块图__panel_004.png,outputs/topology_panel_v1/_P3_staging_batch4/10KV配网设计块图#panel_004.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch4/10KV配网设计块图#panel_005,_P3_staging_batch4/10KV配网设计块图,train,P3,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P3/P3_staging_batch4__10KV配网设计块图__panel_005.png,outputs/topology_panel_v1/_P3_staging_batch4/10KV配网设计块图#panel_005.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch4/10kv系统单线图#panel_004,_P3_staging_batch4/10kv系统单线图,train,P3,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P3/P3_staging_batch4__10kv系统单线图__panel_004.png,outputs/topology_panel_v1/_P3_staging_batch4/10kv系统单线图#panel_004.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch4/10kv系统单线图#panel_005,_P3_staging_batch4/10kv系统单线图,train,P3,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P3/P3_staging_batch4__10kv系统单线图__panel_005.png,outputs/topology_panel_v1/_P3_staging_batch4/10kv系统单线图#panel_005.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch4/DXN8B-T接线图#panel_000,_P3_staging_batch4/DXN8B-T接线图,train,P3,ok,,no_edges;no_nets,3,0,0,0,0,0,0,0.0,0.0,datas/qa_and_png/P3_oda_output/DXN8B-T接线图.png,outputs/topology_panel_v1/_P3_staging_batch4/DXN8B-T接线图#panel_000.topology.v1.json
high,no_edges_or_no_nets,Check whether this panel is not a topology target or uses unsupported geometry types.,_P3_staging_batch4/某学校系统图及接线图#panel_000,_P3_staging_batch4/某学校系统图及接线图,train,P3,ok,,no_edges;no_nets,0,0,0,0,0,0,0,0.0,0.0,outputs/panels/P3/P3_staging_batch4__某学校系统图及接线图__panel_000.png,outputs/topology_panel_v1/_P3_staging_batch4/某学校系统图及接线图#panel_000.topology.v1.json
medium,high_fragmentation,Review as a candidate for terminal anchors or line-merge improvements.,_P3_staging_batch2/10KV配变电房工程典型设计图纸wm666.taobao.com#panel_000,_P3_staging_batch2/10KV配变电房工程典型设计图纸wm666.taobao.com,train,P3,ok,,high_fragmentation,95658,70666,189835,94450,143667,188691,17100,0.0458,0.0102,datas/qa_and_png/P3_oda_output/10KV配变电房工程典型设计图纸wm666.taobao.com.png,outputs/topology_panel_v1/_P3_staging_batch2/10KV配变电房工程典型设计图纸wm666.taobao.com#panel_000.topology.v1.json
medium,high_fragmentation,Review as a candidate for terminal anchors or line-merge improvements.,_P2_staging/35KV二次图#panel_000,_P2_staging/35KV二次图,train,P2,ok,,high_fragmentation,58529,39910,173316,91444,58058,90659,4276,0.0291,0.0298,datas/qa_and_png/P2_oda_output/35KV二次图.png,outputs/topology_panel_v1/_P2_staging/35KV二次图#panel_000.topology.v1.json
medium,high_fragmentation,Review as a candidate for terminal anchors or line-merge improvements.,_P2_staging/电站、变电所电气及设备12#panel_000,_P2_staging/电站、变电所电气及设备12,train,P2,ok,,high_fragmentation,100011,44669,86039,32345,59981,80880,2635,0.0119,0.1441,datas/qa_and_png/P2_oda_output/电站、变电所电气及设备12.png,outputs/topology_panel_v1/_P2_staging/电站、变电所电气及设备12#panel_000.topology.v1.json
medium,high_fragmentation,Review as a candidate for terminal anchors or line-merge improvements.,_P2_staging/武汉某35kV变配电所电气二次设计图wm666.taobao.com#panel_000,_P2_staging/武汉某35kV变配电所电气二次设计图wm666.taobao.com,train,P2,ok,,high_fragmentation,53499,35930,79415,33877,62978,78676,7370,0.036,0.0185,datas/qa_and_png/P2_oda_output/武汉某35kV变配电所电气二次设计图wm666.taobao.com.png,outputs/topology_panel_v1/_P2_staging/武汉某35kV变配电所电气二次设计图wm666.taobao.com#panel_000.topology.v1.json
medium,high_fragmentation,Review as a candidate for terminal anchors or line-merge improvements.,_P2_staging/220KV变电站全套图纸wm666.taobao.com#panel_000,_P2_staging/220KV变电站全套图纸wm666.taobao.com,train,P2,ok,,high_fragmentation,57363,46902,110976,53133,41105,72519,1848,0.0091,0.0964,datas/qa_and_png/P2_oda_output/220KV变电站全套图纸wm666.taobao.com.png,outputs/topology_panel_v1/_P2_staging/220KV变电站全套图纸wm666.taobao.com#panel_000.topology.v1.json
medium,high_fragmentation,Review as a candidate for terminal anchors or line-merge improvements.,_P2_staging/变电站全套建筑图wm666.taobao.com#panel_000,_P2_staging/变电站全套建筑图wm666.taobao.com,train,P2,ok,,high_fragmentation,30157,29359,72704,37079,47628,72296,2141,0.0089,0.0715,datas/qa_and_png/P2_oda_output/变电站全套建筑图wm666.taobao.com.png,outputs/topology_panel_v1/_P2_staging/变电站全套建筑图wm666.taobao.com#panel_000.topology.v1.json
medium,high_fragmentation,Review as a candidate for terminal anchors or line-merge improvements.,_P2_staging/商场10KV变电所接线图#panel_000,_P2_staging/商场10KV变电所接线图,train,P2,ok,,high_fragmentation,35104,25249,61955,23592,42917,54751,4175,0.0193,0.0316,datas/qa_and_png/P2_oda_output/商场10KV变电所接线图.png,outputs/topology_panel_v1/_P2_staging/商场10KV变电所接线图#panel_000.topology.v1.json
medium,high_fragmentation,Review as a candidate for terminal anchors or line-merge improvements.,_P2_staging/商场10KV变电所接线图wm666.taobao.com#panel_000,_P2_staging/商场10KV变电所接线图wm666.taobao.com,train,P2,ok,,high_fragmentation,35104,25249,61955,23592,42917,54751,4175,0.0193,0.0316,datas/qa_and_png/P2_oda_output/商场10KV变电所接线图wm666.taobao.com.png,outputs/topology_panel_v1/_P2_staging/商场10KV变电所接线图wm666.taobao.com#panel_000.topology.v1.json
medium,high_fragmentation,Review as a candidate for terminal anchors or line-merge improvements.,_P2_staging/[E-1~2(总图)、ET-7~13(通用图)、ET2-1~5(通用图A3A4#)、E-31~37(A2#楼)]A2~A4#楼变电所及总平20130319#panel_000,_P2_staging/[E-1~2(总图)、ET-7~13(通用图)、ET2-1~5(通用图A3A4#)、E-31~37(A2#楼)]A2~A4#楼变电所及总平20130319,train,P2,ok,,high_fragmentation,32450,21779,54158,23423,43396,53813,5174,0.0357,0.0589,datas/qa_and_png/P2_oda_output/[E-1~2(总图)、ET-7~13(通用图)、ET2-1~5(通用图A3A4#)、E-31~37(A2#楼)]A2~A4#楼变电所及总平20130319.png,outputs/topology_panel_v1/_P2_staging/[E-1~2(总图)、ET-7~13(通用图)、ET2-1~5(通用图A3A4#)、E-31~37(A2#楼)]A2~A4#楼变电所及总平20130319#panel_000.topology.v1.json
medium,high_fragmentation,Review as a candidate for terminal anchors or line-merge improvements.,_P3_staging_batch1/10KV开关站二次图纸#panel_000,_P3_staging_batch1/10KV开关站二次图纸,train,P3,ok,,high_fragmentation,43044,29118,52710,18675,46070,52477,5179,0.0519,0.0347,datas/qa_and_png/P3_oda_output/10KV开关站二次图纸.png,outputs/topology_panel_v1/_P3_staging_batch1/10KV开关站二次图纸#panel_000.topology.v1.json
medium,high_fragmentation,Review as a candidate for terminal anchors or line-merge improvements.,_P3_staging_batch1/10KV高压开关柜原理图#panel_000,_P3_staging_batch1/10KV高压开关柜原理图,train,P3,ok,,high_fragmentation,36146,20781,49648,19952,38850,49233,4247,0.0424,0.0111,datas/qa_and_png/P3_oda_output/10KV高压开关柜原理图.png,outputs/topology_panel_v1/_P3_staging_batch1/10KV高压开关柜原理图#panel_000.topology.v1.json
medium,high_fragmentation,Review as a candidate for terminal anchors or line-merge improvements.,_P3_staging_batch4/厂用变二次接线图#panel_000,_P3_staging_batch4/厂用变二次接线图,train,P3,ok,,high_fragmentation,29090,23023,278606,141193,19529,48522,1525,0.0127,0.0329,datas/qa_and_png/P3_oda_output/厂用变二次接线图.png,outputs/topology_panel_v1/_P3_staging_batch4/厂用变二次接线图#panel_000.topology.v1.json
