panel_id,parent_drawing_key,split,phase,batch,panel_index,panel_count,split_method,panel_png_path,panel_bbox_cad,parent_normalized_json_path,parent_topology_v0_json_path,topology_v1_panel_json_path,status,error,panel_entity_count,base_segment_count,split_segment_count,intersection_count,split_event_count,split_short_segments,v1_node_count,v1_edge_count,v1_net_count,v1_isolated_edge_ratio,v1_largest_net_edge_ratio,effective_endpoint_tolerance,quality_flags
_P1_staging/#2主变测量计度回路(B066-500-0201)wm666.taobao.com#panel_000,_P1_staging/#2主变测量计度回路(B066-500-0201)wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/#2主变测量计度回路(B066-500-0201)wm666.taobao.com.png,"-25.0,-381.2361,999.2498,525.5864",outputs/normalized_geometry/_P1_staging/#2主变测量计度回路(B066-500-0201)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变测量计度回路(B066-500-0201)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/#2主变测量计度回路(B066-500-0201)wm666.taobao.com#panel_000.topology.v1.json,ok,,3979,2820,5355,1695,2640,7,5296,5068,743,0.0412,0.0207,0.684,high_fragmentation
_P1_staging/#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com#panel_000,_P1_staging/#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com.png,"-24.7339,-337.5139,1000.2614,503.0371",outputs/normalized_geometry/_P1_staging/#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/#2主变风冷控制回路(一)(B066-500-0213)wm666.taobao.com#panel_000.topology.v1.json,ok,,3710,2687,3994,1010,1550,80,4198,3967,634,0.0766,0.0708,0.6628,high_fragmentation
_P1_staging/#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com#panel_000,_P1_staging/#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com.png,"-26.8573,-335.3663,822.5786,392.3801",outputs/normalized_geometry/_P1_staging/#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/#2主变风冷控制回路(二)(B066-500-0214)wm666.taobao.com#panel_000.topology.v1.json,ok,,1537,718,2570,1672,2352,0,1585,2556,134,0.029,0.2375,0.5593,
_P1_staging/#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com#panel_000,_P1_staging/#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com.png,"-25.0,-323.9746,559.0,377.7175",outputs/normalized_geometry/_P1_staging/#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/#2主变风冷控制箱二次安装图(B066-500-0311)wm666.taobao.com#panel_000.topology.v1.json,ok,,3186,1969,4969,2884,3218,0,3321,4964,7,0.0002,0.1888,0.4565,
_P1_staging/01-110KV屋外配电装置配置接线图wm666.taobao.com#panel_000,_P1_staging/01-110KV屋外配电装置配置接线图wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/01-110KV屋外配电装置配置接线图wm666.taobao.com.png,"644.1277,838.3027,3588.9867,1327.633",outputs/normalized_geometry/_P1_staging/01-110KV屋外配电装置配置接线图wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/01-110KV屋外配电装置配置接线图wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/01-110KV屋外配电装置配置接线图wm666.taobao.com#panel_000.topology.v1.json,ok,,1161,856,1591,719,1256,7,894,1276,114,0.0306,0.1677,1.0,
_P1_staging/02-110KV屋外配电装置平面布置图wm666.taobao.com#panel_000,_P1_staging/02-110KV屋外配电装置平面布置图wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/02-110KV屋外配电装置平面布置图wm666.taobao.com.png,"86186.2522,165963.6462,303407.5386,512112.9305",outputs/normalized_geometry/_P1_staging/02-110KV屋外配电装置平面布置图wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/02-110KV屋外配电装置平面布置图wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/02-110KV屋外配电装置平面布置图wm666.taobao.com#panel_000.topology.v1.json,ok,,821,665,1479,666,1003,21,996,1477,31,0.0149,0.914,1.0,
_P1_staging/02-主接线wm666.taobao.com#panel_000,_P1_staging/02-主接线wm666.taobao.com,train,P1,_P1_staging,0,5,image_components,outputs/panels/P1/P1_staging__02-主接线wm666.taobao.com__panel_000.png,"1312.5583,1493.8362,1937.2638,1806.3693",outputs/normalized_geometry/_P1_staging/02-主接线wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/02-主接线wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/02-主接线wm666.taobao.com#panel_000.topology.v1.json,ok,,2111,1970,3415,1572,2588,274,2304,3255,304,0.0335,0.032,0.3493,high_fragmentation
_P1_staging/02-主接线wm666.taobao.com#panel_001,_P1_staging/02-主接线wm666.taobao.com,train,P1,_P1_staging,1,5,image_components,outputs/panels/P1/P1_staging__02-主接线wm666.taobao.com__panel_001.png,"2637.7306,930.0097,3290.1431,1252.498",outputs/normalized_geometry/_P1_staging/02-主接线wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/02-主接线wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/02-主接线wm666.taobao.com#panel_001.topology.v1.json,ok,,3464,2963,4665,1170,1834,36,4926,4293,914,0.0766,0.0247,0.3639,high_fragmentation
_P1_staging/02-主接线wm666.taobao.com#panel_002,_P1_staging/02-主接线wm666.taobao.com,train,P1,_P1_staging,2,5,image_components,outputs/panels/P1/P1_staging__02-主接线wm666.taobao.com__panel_002.png,"3572.8408,936.6465,4695.8388,1247.6712",outputs/normalized_geometry/_P1_staging/02-主接线wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/02-主接线wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/02-主接线wm666.taobao.com#panel_002.topology.v1.json,ok,,4887,4019,6708,2128,3172,22,6737,6397,857,0.0463,0.1,0.5826,high_fragmentation
_P1_staging/02-主接线wm666.taobao.com#panel_003,_P1_staging/02-主接线wm666.taobao.com,train,P1,_P1_staging,3,5,image_components,outputs/panels/P1/P1_staging__02-主接线wm666.taobao.com__panel_003.png,"1140.2556,914.021,2066.2744,1226.5541",outputs/normalized_geometry/_P1_staging/02-主接线wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/02-主接线wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/02-主接线wm666.taobao.com#panel_003.topology.v1.json,ok,,5732,5350,9527,4542,7881,572,5889,9162,680,0.0228,0.0646,0.4887,high_fragmentation
_P1_staging/02-主接线wm666.taobao.com#panel_004,_P1_staging/02-主接线wm666.taobao.com,train,P1,_P1_staging,4,5,image_components,outputs/panels/P1/P1_staging__02-主接线wm666.taobao.com__panel_004.png,"1140.2556,406.909,2066.2744,719.442",outputs/normalized_geometry/_P1_staging/02-主接线wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/02-主接线wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/02-主接线wm666.taobao.com#panel_004.topology.v1.json,ok,,655,578,1148,522,987,0,714,1108,88,0.0424,0.0794,0.4887,high_fragmentation
_P1_staging/03-10kV配电装置主变进线及母线桥间隔断面图wm666.taobao.com#panel_000,_P1_staging/03-10kV配电装置主变进线及母线桥间隔断面图wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/03-10kV配电装置主变进线及母线桥间隔断面图wm666.taobao.com.png,"64541.8602,6520.9077,91070.683,21370.9077",outputs/normalized_geometry/_P1_staging/03-10kV配电装置主变进线及母线桥间隔断面图wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/03-10kV配电装置主变进线及母线桥间隔断面图wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/03-10kV配电装置主变进线及母线桥间隔断面图wm666.taobao.com#panel_000.topology.v1.json,ok,,1222,646,1150,441,588,50,874,1057,130,0.018,0.5203,1.0,
_P1_staging/03-110KV屋外配电装置出线间隔断面图wm666.taobao.com#panel_000,_P1_staging/03-110KV屋外配电装置出线间隔断面图wm666.taobao.com,val,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/03-110KV屋外配电装置出线间隔断面图wm666.taobao.com.png,"247884.5605,-5397.5888,415397.7083,172893.4942",outputs/normalized_geometry/_P1_staging/03-110KV屋外配电装置出线间隔断面图wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/03-110KV屋外配电装置出线间隔断面图wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/03-110KV屋外配电装置出线间隔断面图wm666.taobao.com#panel_000.topology.v1.json,ok,,1472,1133,2602,1153,1764,1,1836,2576,103,0.0252,0.4519,1.0,
_P1_staging/04-110KV屋外配电装置主变进线间隔及母线PT间隔断面图wm666.taobao.com#panel_000,_P1_staging/04-110KV屋外配电装置主变进线间隔及母线PT间隔断面图wm666.taobao.com,val,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/04-110KV屋外配电装置主变进线间隔及母线PT间隔断面图wm666.taobao.com.png,"313125.6468,103849.9856,443312.785,243111.3457",outputs/normalized_geometry/_P1_staging/04-110KV屋外配电装置主变进线间隔及母线PT间隔断面图wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/04-110KV屋外配电装置主变进线间隔及母线PT间隔断面图wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/04-110KV屋外配电装置主变进线间隔及母线PT间隔断面图wm666.taobao.com#panel_000.topology.v1.json,ok,,892,630,1533,696,998,1,1095,1520,64,0.0283,0.6632,1.0,
_P1_staging/05-110KV屋外配电装置母线分段间隔断面图wm666.taobao.com#panel_000,_P1_staging/05-110KV屋外配电装置母线分段间隔断面图wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/05-110KV屋外配电装置母线分段间隔断面图wm666.taobao.com.png,"280526.2036,129573.7399,449311.1146,268502.9839",outputs/normalized_geometry/_P1_staging/05-110KV屋外配电装置母线分段间隔断面图wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/05-110KV屋外配电装置母线分段间隔断面图wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/05-110KV屋外配电装置母线分段间隔断面图wm666.taobao.com#panel_000.topology.v1.json,ok,,1039,718,1671,815,1233,1,1096,1659,48,0.0108,0.5787,1.0,
_P1_staging/05电气主接线#panel_000,_P1_staging/05电气主接线,train,P1,_P1_staging,0,5,image_components,outputs/panels/P1/P1_staging__05电气主接线__panel_000.png,"-1025.6256,-36711.6623,246571.8376,11006.0219",outputs/normalized_geometry/_P1_staging/05电气主接线.normalized.json,outputs/topology_graph/_P1_staging/05电气主接线.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/05电气主接线#panel_000.topology.v1.json,ok,,4021,4274,5741,962,1690,44,4459,4449,458,0.0128,0.1322,1.0,high_fragmentation
_P1_staging/05电气主接线#panel_001,_P1_staging/05电气主接线,train,P1,_P1_staging,1,5,image_components,outputs/panels/P1/P1_staging__05电气主接线__panel_001.png,"7451.1673,-35649.6529,242548.0436,9958.5605",outputs/normalized_geometry/_P1_staging/05电气主接线.normalized.json,outputs/topology_graph/_P1_staging/05电气主接线.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/05电气主接线#panel_001.topology.v1.json,ok,,124,0,0,0,0,0,0,0,0,0.0,0.0,1.0,no_edges;no_nets
_P1_staging/1#主变屏#panel_000,_P1_staging/1#主变屏,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/1#主变屏.png,"-192.2267,-1124.336,1930.5094,2263.0314",outputs/normalized_geometry/_P1_staging/1#主变屏.normalized.json,outputs/topology_graph/_P1_staging/1#主变屏.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/1#主变屏#panel_000.topology.v1.json,ok,,9219,5002,13448,6290,9095,208,9628,12975,563,0.0211,0.0697,1.0,high_fragmentation
_P1_staging/1-主变保护测控柜面#panel_000,_P1_staging/1-主变保护测控柜面,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/1-主变保护测控柜面.png,"0.0,0.0,421.625,297.0",outputs/normalized_geometry/_P1_staging/1-主变保护测控柜面.normalized.json,outputs/topology_graph/_P1_staging/1-主变保护测控柜面.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/1-主变保护测控柜面#panel_000.topology.v1.json,ok,,1101,782,1400,483,650,11,1202,1388,262,0.1153,0.3912,0.2579,
_P1_staging/10-1#主变10kV侧开关柜端子排接线图#panel_000,_P1_staging/10-1#主变10kV侧开关柜端子排接线图,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/10-1#主变10kV侧开关柜端子排接线图.png,"0.0,-3124.7791,6188.3186,2812.998",outputs/normalized_geometry/_P1_staging/10-1#主变10kV侧开关柜端子排接线图.normalized.json,outputs/topology_graph/_P1_staging/10-1#主变10kV侧开关柜端子排接线图.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/10-1#主变10kV侧开关柜端子排接线图#panel_000.topology.v1.json,ok,,938,553,1886,1120,1654,15,1056,1832,29,0.0055,0.8483,1.0,
_P1_staging/1000MW机组脱硫区电气主接线图#panel_000,_P1_staging/1000MW机组脱硫区电气主接线图,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/1000MW机组脱硫区电气主接线图.png,"278535.516,131526.6279,397435.516,215626.6279",outputs/normalized_geometry/_P1_staging/1000MW机组脱硫区电气主接线图.normalized.json,outputs/topology_graph/_P1_staging/1000MW机组脱硫区电气主接线图.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/1000MW机组脱硫区电气主接线图#panel_000.topology.v1.json,ok,,2012,1374,2413,821,1137,0,2660,2412,467,0.1235,0.1418,1.0,high_fragmentation
_P1_staging/1000kw水电站主接线图#panel_000,_P1_staging/1000kw水电站主接线图,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/1000kw水电站主接线图.png,"-258340.9228,-2.1854,6.7736,192302.0786",outputs/normalized_geometry/_P1_staging/1000kw水电站主接线图.normalized.json,outputs/topology_graph/_P1_staging/1000kw水电站主接线图.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/1000kw水电站主接线图#panel_000.topology.v1.json,ok,,736,513,764,237,305,0,709,729,107,0.059,0.1139,1.0,high_fragmentation
_P1_staging/10KV主接线图#panel_000,_P1_staging/10KV主接线图,test,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/10KV主接线图.png,"8.9448,0.0,399.0,280.0",outputs/normalized_geometry/_P1_staging/10KV主接线图.normalized.json,outputs/topology_graph/_P1_staging/10KV主接线图.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/10KV主接线图#panel_000.topology.v1.json,ok,,263,160,510,306,421,2,307,505,23,0.0218,0.4257,0.2401,
_P1_staging/10kV电气主接线图#panel_000,_P1_staging/10kV电气主接线图,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/10kV电气主接线图.png,"925.7323,-485.8677,10980.5323,6624.3123",outputs/normalized_geometry/_P1_staging/10kV电气主接线图.normalized.json,outputs/topology_graph/_P1_staging/10kV电气主接线图.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/10kV电气主接线图#panel_000.topology.v1.json,ok,,448,358,908,373,634,7,757,899,93,0.0345,0.5239,1.0,
_P1_staging/10kv变电站主接线图#panel_000,_P1_staging/10kv变电站主接线图,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/10kv变电站主接线图.png,"-211.267,0.0,4504.1843,3546.8686",outputs/normalized_geometry/_P1_staging/10kv变电站主接线图.normalized.json,outputs/topology_graph/_P1_staging/10kv变电站主接线图.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/10kv变电站主接线图#panel_000.topology.v1.json,ok,,2792,2426,4722,1598,2712,114,3919,4121,367,0.0197,0.2701,1.0,
_P1_staging/11-1#主变端子箱接线图#panel_000,_P1_staging/11-1#主变端子箱接线图,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/11-1#主变端子箱接线图.png,"0.0,-3124.7791,6188.3186,900.9311",outputs/normalized_geometry/_P1_staging/11-1#主变端子箱接线图.normalized.json,outputs/topology_graph/_P1_staging/11-1#主变端子箱接线图.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/11-1#主变端子箱接线图#panel_000.topology.v1.json,ok,,1073,673,1919,986,1517,7,1403,1864,139,0.0241,0.2607,1.0,
_P1_staging/110KV出线断面图#panel_000,_P1_staging/110KV出线断面图,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/110KV出线断面图.png,"-843.096,-240.7855,1117.3562,595.2359",outputs/normalized_geometry/_P1_staging/110KV出线断面图.normalized.json,outputs/topology_graph/_P1_staging/110KV出线断面图.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/110KV出线断面图#panel_000.topology.v1.json,ok,,581,493,1240,431,755,3,795,1111,45,0.0216,0.5023,1.0,
_P1_staging/110KV出线断面图wm666.taobao.com#panel_000,_P1_staging/110KV出线断面图wm666.taobao.com,train,P1,_P1_staging,0,1,full,datas/qa_and_png/P1_oda_output/110KV出线断面图wm666.taobao.com.png,"-843.096,-240.7855,1117.3562,595.2359",outputs/normalized_geometry/_P1_staging/110KV出线断面图wm666.taobao.com.normalized.json,outputs/topology_graph/_P1_staging/110KV出线断面图wm666.taobao.com.topology.v0.json,outputs/topology_panel_v1_sample/_P1_staging/110KV出线断面图wm666.taobao.com#panel_000.topology.v1.json,ok,,581,493,1240,431,755,3,795,1111,45,0.0216,0.5023,1.0,
